採集日期,基準地址,店家代碼,店家名稱,採集狀態,商品總數,評分,評價數,原始JSON檔案,店家網址
2026-08-25,台北市士林區中山北路七段81巷,dcb10e7c62893ac945db7928dceb76de,麥當勞 台北石牌 McDonald's S78,SUCCESS,120,4.9,35000,20260825232752_dcb10e7c_麥當勞_台北石牌_McDonald's_S78.json,https://www.ubereats.com/tw/store/%E9%BA%A5%E7%95%B6%E5%8B%9E-%E5%8F%B0%E5%8C%97%E7%9F%B3%E7%89%8C-mcdonalds-s78/ub55akCsQIa0NlqEwvnQ4A
2026-08-25,台北市士林區中山北路七段81巷,0bc1a2a442c3e13954c2b4f76fb8ba8d,胖老爹美式炸雞 天母店,SUCCESS,67,4.8,2000,20260825232752_0bc1a2a4_胖老爹美式炸雞_天母店.json,https://www.ubereats.com/tw/store/%E8%83%96%E8%80%81%E7%88%B9%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E-%E5%A4%A9%E6%AF%8D%E5%BA%97/0eLDKx9VS9aAwUbLmhDqrg
2026-08-25,台北市士林區中山北路七段81巷,e76df982c2a98ee4cf20801a65b1c4df,Burger o'clock,SUCCESS,77,4.9,7000,20260825232752_e76df982_Burger_o'clock.json,https://www.ubereats.com/tw/store/burger-oclock/N3XkkaJGRDCjAt-GaT6iXQ
2026-08-25,台北市士林區中山北路七段81巷,85b958793c65f4665737aa76e85897f7,肯德基KFC炸雞漢堡店 北投光明店,SUCCESS,114,4.8,3000,20260825232752_85b95879_肯德基KFC炸雞漢堡店_北投光明店.json,https://www.ubereats.com/tw/store/%E8%82%AF%E5%BE%B7%E5%9F%BAkfc%E7%82%B8%E9%9B%9E%E6%BC%A2%E5%A0%A1%E5%BA%97-%E5%8C%97%E6%8A%95%E5%85%89%E6%98%8E%E5%BA%97/lGVGNLE0TCOjrNEDC8s8lw
2026-08-25,台北市士林區中山北路七段81巷,835ee17e4830e232320b8541248d5daa,2派克脆皮雞排 石牌店,SUCCESS,73,4.8,10000,20260825232752_835ee17e_2派克脆皮雞排_石牌店.json,https://www.ubereats.com/tw/store/2%E6%B4%BE%E5%85%8B%E8%84%86%E7%9A%AE%E9%9B%9E%E6%8E%92-%E7%9F%B3%E7%89%8C%E5%BA%97/uXAtNIHwQS60cdAg3Pke5w
2026-08-25,台北市士林區中山北路七段81巷,46a9d94d94460d43809ebd35a6441312,小航海生魚片,SUCCESS,55,3.7,130,20260825232752_46a9d94d_小航海生魚片.json,https://www.ubereats.com/tw/store/%E5%B0%8F%E8%88%AA%E6%B5%B7%E7%94%9F%E9%AD%9A%E7%89%87/1f6vwYxyX52FnB5tiDah3A
2026-08-25,台北市士林區中山北路七段81巷,2d9fdc18605a34ca9e37afa850492748,世界豆漿大王 民族店,SUCCESS,63,4.6,10000,20260825232752_2d9fdc18_世界豆漿大王_民族店.json,https://www.ubereats.com/tw/store/%E4%B8%96%E7%95%8C%E8%B1%86%E6%BC%BF%E5%A4%A7%E7%8E%8B-%E6%B0%91%E6%97%8F%E5%BA%97/rxvfszHJRkmWTGP8iwWCAw
2026-08-25,台北市士林區中山北路七段81巷,5110a2e08453d9a034748d9df7daa064,すき家 SUKIYA 芝山店,SUCCESS,99,4.8,25000,20260825232752_5110a2e0_すき家_SUKIYA_芝山店.json,https://www.ubereats.com/tw/store/%E3%81%99%E3%81%8D%E5%AE%B6-sukiya-%E8%8A%9D%E5%B1%B1%E5%BA%97/ebEMYG2lSNCDOf9dqq_NqA
2026-08-25,台北市士林區中山北路七段81巷,c25e951a8f619c56f1457be7acac8444,爆Q美式炸雞 圓山店,SUCCESS,67,4.7,1500,20260825232752_c25e951a_爆Q美式炸雞_圓山店.json,https://www.ubereats.com/tw/store/%E7%88%86q%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E-%E5%9C%93%E5%B1%B1%E5%BA%97/xE8VfXeVURalviWm4RAdbA
2026-08-25,台北市士林區中山北路七段81巷,23e1a2dd72844ef27d4702c0a35efb2c,名香烤鴨,SUCCESS,11,4.2,23,20260825232752_23e1a2dd_名香烤鴨.json,https://www.ubereats.com/tw/store/%E5%90%8D%E9%A6%99%E7%83%A4%E9%B4%A8/AQLZaj0IUWK6DsqU-yU7vQ
2026-08-25,台北市士林區中山北路七段81巷,7cc37abfdb0fcac368e69dfe51dbab33,亦壽司,SUCCESS,31,4.9,490,20260825232752_7cc37abf_亦壽司.json,https://www.ubereats.com/tw/store/%E4%BA%A6%E5%A3%BD%E5%8F%B8/deBZPAMCSTmAxXzgBHvpGQ
2026-08-25,台北市士林區中山北路七段81巷,dbc8906d9c5e0914a090fa04338a5fd8,士林夜市生魚片專賣店,SUCCESS,40,4.3,20,20260825232752_dbc8906d_士林夜市生魚片專賣店.json,https://www.ubereats.com/tw/store/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82%E7%94%9F%E9%AD%9A%E7%89%87%E5%B0%88%E8%B3%A3%E5%BA%97/gijUpqx_XtadNVDJjqsLJg
2026-08-25,台北市士林區中山北路七段81巷,7e7abd39f01f383ef85e7736be18d57c,台灣鹽酥雞 大直總店,SUCCESS,135,4.8,45000,20260825232752_7e7abd39_台灣鹽酥雞_大直總店.json,https://www.ubereats.com/tw/store/%E5%8F%B0%E7%81%A3%E9%B9%BD%E9%85%A5%E9%9B%9E-%E5%A4%A7%E7%9B%B4%E7%B8%BD%E5%BA%97/CeO3JJoVSKObnwrdlOpIzA
